Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,India,IND,1750.62284230969
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bangladesh,BGD,972.880678008085
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Pakistan,PAK,1142.75219568227
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Mexico,MEX,9510.59625434977
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Vietnam,VNM,1684.86601483866
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Peru,PER,5934.54757355255
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Colombia,COL,7447.8772590459
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Philippines,PHL,2639.8684335024
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Nepal,NPL,689.514290996797
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,11159.2541552581
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Cambodia,KHM,1020.90756485607
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Ecuador,ECU,5366.54546590898
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bolivia,BOL,2392.7656130372
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Ethiopia,ETH,486.268505816991
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Paraguay,PRY,3822.86061526076
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Nigeria,NGA,2548.17368034217
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Indonesia,IDN,3834.05622613561
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Sri Lanka,LKA,3637.53913009246
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Afghanistan,AFG,619.75131158497
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Myanmar,MMR,1308.74690603163
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Dominican Republic,DOM,6552.69437986094
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,6497.48230504326
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bhutan,BTN,2668.12125742202
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Guatemala,GTM,3052.29506767796
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Nicaragua,NIC,1849.02908590582
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Chile,CHL,14660.5053351618
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Kenya,KEN,1133.4585731094
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Honduras,HND,2313.04507576407
