query,alpha,iter,plan_time,run_time,frontier_size,njoins
0.0,0.0,0.0,160.0,0.0,4.0,1.0
0.0,0.0,1.0,12.0,0.0,4.0,1.0
0.0,0.0,2.0,10.0,1.0,4.0,1.0
0.0,0.0,3.0,13.0,0.0,4.0,1.0
0.0,0.0,4.0,17.0,0.0,4.0,1.0
0.0,0.0,5.0,18.0,0.0,4.0,1.0
0.0,0.0,6.0,11.0,0.0,4.0,1.0
0.0,0.0,7.0,7.0,0.0,4.0,1.0
0.0,0.0,8.0,11.0,0.0,4.0,1.0
0.0,0.0,9.0,10.0,0.0,4.0,1.0
0.0,0.0,10.0,8.0,0.0,4.0,1.0
0.0,0.0,11.0,7.0,0.0,4.0,1.0
0.0,0.0,12.0,9.0,0.0,4.0,1.0
0.0,0.0,13.0,7.0,0.0,4.0,1.0
0.0,0.0,14.0,12.0,0.0,4.0,1.0
0.0,0.0,15.0,15.0,0.0,4.0,1.0
0.0,0.0,16.0,8.0,0.0,4.0,1.0
0.0,0.0,17.0,5.0,0.0,4.0,1.0
0.0,0.0,18.0,7.0,0.0,4.0,1.0
0.0,0.0,19.0,6.0,0.0,4.0,1.0
1.0,0.0,0.0,9.0,0.0,4.0,1.0
1.0,0.0,1.0,6.0,0.0,4.0,1.0
1.0,0.0,2.0,7.0,0.0,4.0,1.0
1.0,0.0,3.0,6.0,0.0,4.0,1.0
1.0,0.0,4.0,7.0,0.0,4.0,1.0
1.0,0.0,5.0,6.0,0.0,4.0,1.0
1.0,0.0,6.0,7.0,0.0,4.0,1.0
1.0,0.0,7.0,7.0,0.0,4.0,1.0
1.0,0.0,8.0,9.0,1.0,4.0,1.0
1.0,0.0,9.0,7.0,0.0,4.0,1.0
1.0,0.0,10.0,5.0,0.0,4.0,1.0
1.0,0.0,11.0,9.0,0.0,4.0,1.0
1.0,0.0,12.0,7.0,0.0,4.0,1.0
1.0,0.0,13.0,6.0,0.0,4.0,1.0
1.0,0.0,14.0,5.0,0.0,4.0,1.0
1.0,0.0,15.0,6.0,0.0,4.0,1.0
1.0,0.0,16.0,6.0,0.0,4.0,1.0
1.0,0.0,17.0,6.0,0.0,4.0,1.0
