query,alpha,iter,plan_time,run_time,frontier_size,njoins
0.0,0.0,0.0,350.0,0.0,4.0,1.0
0.0,0.0,1.0,24.0,0.0,4.0,1.0
0.0,0.0,2.0,14.0,0.0,4.0,1.0
0.0,0.0,3.0,20.0,0.0,4.0,1.0
0.0,0.0,4.0,37.0,0.0,4.0,1.0
0.0,0.0,5.0,15.0,0.0,4.0,1.0
0.0,0.0,6.0,9.0,0.0,4.0,1.0
0.0,0.0,7.0,7.0,0.0,4.0,1.0
0.0,0.0,8.0,8.0,0.0,4.0,1.0
0.0,0.0,9.0,8.0,0.0,4.0,1.0
0.0,0.0,10.0,18.0,0.0,4.0,1.0
0.0,0.0,11.0,8.0,0.0,4.0,1.0
0.0,0.0,12.0,11.0,0.0,4.0,1.0
0.0,0.0,13.0,44.0,0.0,4.0,1.0
0.0,0.0,14.0,6.0,0.0,4.0,1.0
0.0,0.0,15.0,12.0,0.0,4.0,1.0
0.0,0.0,16.0,24.0,0.0,4.0,1.0
0.0,0.0,17.0,7.0,0.0,4.0,1.0
0.0,0.0,18.0,11.0,0.0,4.0,1.0
0.0,0.0,19.0,12.0,0.0,4.0,1.0
1.0,0.0,0.0,17.0,0.0,4.0,1.0
1.0,0.0,1.0,11.0,0.0,4.0,1.0
1.0,0.0,2.0,6.0,0.0,4.0,1.0
1.0,0.0,3.0,8.0,0.0,4.0,1.0
1.0,0.0,4.0,4.0,0.0,4.0,1.0
1.0,0.0,5.0,10.0,0.0,4.0,1.0
1.0,0.0,6.0,6.0,0.0,4.0,1.0
1.0,0.0,7.0,8.0,0.0,4.0,1.0
1.0,0.0,8.0,8.0,0.0,4.0,1.0
1.0,0.0,9.0,15.0,0.0,4.0,1.0
1.0,0.0,10.0,6.0,0.0,4.0,1.0
1.0,0.0,11.0,8.0,0.0,4.0,1.0
1.0,0.0,12.0,9.0,0.0,4.0,1.0
1.0,0.0,13.0,5.0,0.0,4.0,1.0
1.0,0.0,14.0,6.0,0.0,4.0,1.0
1.0,0.0,15.0,6.0,0.0,4.0,1.0
1.0,0.0,16.0,5.0,0.0,4.0,1.0
1.0,0.0,17.0,6.0,0.0,4.0,1.0
1.0,0.0,18.0,5.0,0.0,4.0,1.0
1.0,0.0,19.0,18.0,0.0,4.0,1.0
2.0,0.0,0.0,24.0,0.0,3.0,1.0
2.0,0.0,1.0,45.0,0.0,3.0,1.0
2.0,0.0,2.0,17.0,0.0,3.0,1.0
2.0,0.0,3.0,12.0,0.0,3.0,1.0
2.0,0.0,4.0,10.0,0.0,3.0,1.0
2.0,0.0,5.0,6.0,0.0,3.0,1.0
2.0,0.0,6.0,8.0,0.0,3.0,1.0
2.0,0.0,7.0,4.0,0.0,3.0,1.0
2.0,0.0,8.0,5.0,0.0,3.0,1.0
2.0,0.0,9.0,8.0,0.0,3.0,1.0
2.0,0.0,10.0,5.0,0.0,3.0,1.0
2.0,0.0,11.0,9.0,0.0,3.0,1.0
2.0,0.0,12.0,11.0,0.0,3.0,1.0
2.0,0.0,13.0,4.0,0.0,3.0,1.0
2.0,0.0,14.0,3.0,0.0,3.0,1.0
2.0,0.0,15.0,7.0,0.0,3.0,1.0
2.0,0.0,16.0,5.0,0.0,3.0,1.0
2.0,0.0,17.0,17.0,0.0,3.0,1.0
2.0,0.0,18.0,13.0,0.0,3.0,1.0
2.0,0.0,19.0,6.0,0.0,3.0,1.0
3.0,0.0,0.0,4.0,0.0,3.0,1.0
3.0,0.0,1.0,3.0,0.0,3.0,1.0
3.0,0.0,2.0,9.0,0.0,3.0,1.0
3.0,0.0,3.0,4.0,0.0,3.0,1.0
3.0,0.0,4.0,9.0,0.0,3.0,1.0
3.0,0.0,5.0,5.0,0.0,3.0,1.0
3.0,0.0,6.0,8.0,0.0,3.0,1.0
3.0,0.0,7.0,4.0,0.0,3.0,1.0
3.0,0.0,8.0,7.0,0.0,3.0,1.0
3.0,0.0,9.0,5.0,0.0,3.0,1.0
3.0,0.0,10.0,7.0,0.0,3.0,1.0
3.0,0.0,11.0,7.0,0.0,3.0,1.0
3.0,0.0,12.0,5.0,0.0,3.0,1.0
3.0,0.0,13.0,4.0,0.0,3.0,1.0
3.0,0.0,14.0,5.0,0.0,3.0,1.0
3.0,0.0,15.0,9.0,0.0,3.0,1.0
3.0,0.0,16.0,4.0,0.0,3.0,1.0
3.0,0.0,17.0,7.0,0.0,3.0,1.0
3.0,0.0,18.0,9.0,0.0,3.0,1.0
3.0,0.0,19.0,6.0,0.0,3.0,1.0
4.0,0.0,0.0,6.0,0.0,3.0,1.0
4.0,0.0,1.0,4.0,0.0,3.0,1.0
4.0,0.0,2.0,13.0,0.0,3.0,1.0
4.0,0.0,3.0,8.0,0.0,3.0,1.0
