income,num_people_household,marital_status,age_yrs,gender,id,time_in_us,is_citizen,age_months,years_edu
4,3,4,69,1,73557,,1,,
7,4,1,54,1,73558,,1,,
10,2,1,72,1,73559,,1,,
9,4,,9,1,73560,,1,,3
15,2,1,73,2,73561,,1,,
9,1,3,56,1,73562,,1,,
15,3,,0,1,73563,,1,5,
10,1,2,61,2,73564,,1,,
15,4,1,42,1,73565,,1,,
4,7,3,56,2,73566,,1,,
3,1,2,65,1,73567,,1,,
15,3,5,26,2,73568,,1,,
77,4,,0,2,73569,,1,10,
5,4,,9,2,73570,,1,,2
14,2,1,76,1,73571,,1,,
2,3,,10,2,73572,,1,,3
8,5,,10,1,73573,,1,,4
8,4,1,33,2,73574,4,1,,
3,2,,1,1,73575,,1,18,
8,6,,16,1,73576,,1,,9
5,7,6,32,1,73577,4,2,,
5,7,,18,1,73578,,1,,15
10,4,,12,2,73579,,1,,6
12,6,1,38,2,73580,,1,,
15,3,1,50,1,73581,4,2,,
3,3,6,23,2,73582,,1,,
15,3,,7,2,73583,,1,,1
9,3,,13,1,73584,,1,,7
7,2,1,28,1,73585,6,1,,
6,4,,4,2,73586,,1,,
15,7,,14,1,73587,,1,,8
6,3,,11,1,73588,,1,,4
5,1,3,35,1,73589,,1,,
5,5,,2,1,73590,,1,,
15,4,,6,1,73591,,1,,0
12,3,5,29,1,73592,,1,,
15,4,,3,1,73593,,1,,
5,7,5,23,1,73594,3,2,,
8,2,1,58,1,73595,,1,,
15,3,1,57,2,73596,7,1,,
15,2,6,50,2,73597,7,1,,
,6,6,20,1,73598,,1,,
8,7,,13,2,73599,,1,,6
5,6,3,37,1,73600,,1,,
14,4,,12,1,73601,,1,,5
,4,,3,1,73602,,1,,
14,4,1,35,1,73603,2,2,,
10,2,6,69,2,73604,,1,,
15,4,,13,1,73605,,1,,6
14,5,,16,1,73606,,1,,10
4,2,1,75,1,73607,,1,,
3,4,,3,1,73608,,1,,
6,5,,11,2,73609,,1,,6
10,6,1,43,1,73610,,1,,
5,7,,3,2,73611,,1,,
7,7,,6,2,73612,,1,,0
15,6,1,60,2,73613,,1,,
5,2,2,55,2,73614,9,1,,
3,1,2,65,2,73615,8,1,,
15,2,1,62,2,73616,,1,,
4,6,,6,1,73617,2,1,,1
13,4,1,54,2,73618,,1,,
3,2,3,36,2,73619,5,2,,
15,4,,3,2,73620,,1,,
14,2,1,80,1,73621,,1,,
14,2,1,72,1,73622,,1,,
14,4,1,32,1,73623,,1,,
4,6,6,31,2,73624,,1,,
77,5,,13,1,73625,,1,,7
4,4,1,72,2,73626,,1,,
15,5,,0,1,73627,,1,0,
7,1,2,80,1,73628,,1,,
14,5,5,26,2,73629,,1,,
15,4,,13,1,73630,,1,,7
2,1,3,56,2,73631,,1,,
7,2,1,23,1,73632,3,2,,
14,4,1,43,2,73633,,1,,
6,3,2,65,1,73634,,1,,
15,4,,4,2,73635,,1,,
14,4,,1,2,73636,,1,23,
2,5,,2,2,73637,,1,,
6,1,2,63,2,73638,,1,,
7,5,1,71,1,73639,,1,,
6,1,3,67,2,73640,,1,,
